Time, Pb214, Pb214_err, Bi214, Bi214_err, Pb212, Pb212_err, Tl208, Tl208_err, K40, K40_err, Cs134, Cs134_err, Cs137, Cs137_err
2025-11-08 23:50:56,0.0,0.018304902197073997,0.0026984126984127173,0.014103891416429004,0.1103333333333333,0.027413162558914676,0.0021264367816091955,0.0014163943093313293,0.04507309941520467,0.010215553698254606,0.03222222222222222,0.009757871150139054,0.024722222222222222,0.011458441395431836
2025-11-11 05:59:18,0.04335648148148146,0.02030708815212331,0.0,0.01520364409116425,0.09155555555555554,0.02894065874155358,0.0019827586206896553,0.001430413730275825,0.05505847953216375,0.01121660446501063,0.019166666666666665,0.01090432579243918,0.015713213213213208,0.012527830213696087
2025-11-11 09:05:36,0.016805555555555556,0.021577451651042728,0.022261904761904785,0.01593188488247041,0.0,0.030149319751554618,0.00016283524904214526,0.0013341711926855872,0.00010233918128654124,0.010267894726683685,0.015555555555555555,0.011317527104146312,0.0,0.013154455761187527
2025-11-11 14:16:16,0.021041666666666667,0.020769810563994018,0.009404761904761914,0.015435691821573207,0.11155555555555555,0.029369401226362477,0.0,0.001460782927174172,0.02444444444444445,0.011616083604666044,0.020277777777777777,0.010974859036188006,0.021621621621621612,0.012560829634533479
2026-02-03 11:04:32,0.06479166666666666,0.018154111359668896,0.09210317460317462,0.014027483102358344,0.1821111111111111,0.02795057365960911,0.018218390804597702,0.0033800997766023333,0.24254385964912273,0.012752326546896234,0.00916666666666666,0.008700255424092125,0.023813813813813808,0.010861305997345253
2026-02-03 22:25:34,0.06136574074074073,0.01798830066752693,0.09845238095238096,0.014140186892737735,0.17972222222222223,0.027998291394077144,0.006532567049808429,0.002486660880157892,0.008333333333333318,0.011285905808375752,0.025277777777777777,0.008788495566420208,0.02174174174174174,0.010866488880065197
2026-02-03 23:27:29,0.07189814814814813,0.01817623487973492,0.09353174603174604,0.014210172847142958,0.1923888888888889,0.0280181268485023,0.014588122605363985,0.002901919477500242,0.17679824561403512,0.012292296461877766,0.009722222222222222,0.009099077418977333,0.024046546546546543,0.010950319302475135
2026-02-04 00:29:21,0.056296296296296316,0.018269741000189132,0.07595238095238097,0.014027876001542016,0.18255555555555553,0.02802556152453385,0.015536398467432952,0.0033761616420056356,0.274312865497076,0.01310925871541089,0.026944444444444444,0.008919219087779068,0.034466966966966966,0.011022261121940463
2026-02-04 01:31:17,0.08886574074074073,0.018199391467690305,0.08293650793650793,0.014046722238434806,0.16472222222222224,0.028253427629926713,0.025977011494252876,0.003728207574106312,0.27267543859649124,0.012960961276810195,0.018055555555555554,0.008709119670328268,0.0263063063063063,0.010907480910204388
2026-02-04 02:33:17,0.08842592592592591,0.018346305735934376,0.10083333333333336,0.014160440586415766,0.1955555555555555,0.027994157238719883,0.02437739463601533,0.0035125057853752487,0.28466374269005845,0.013070167261925567,0.010833333333333334,0.008927865933326775,0.025683183183183182,0.010922479139396448
2026-02-04 03:35:12,0.07171296296296295,0.018312979723066603,0.09674603174603176,0.014173278880173336,0.14866666666666664,0.02828590802135566,0.03802681992337165,0.003935814313769565,0.2926608187134503,0.013179546837460145,0.021944444444444437,0.008910563851303023,0.027124624624624623,0.01094650976686524
2026-02-04 04:37:08,0.09546296296296299,0.018301389117260994,0.09734126984126985,0.01412926903226927,0.21461111111111109,0.02827581307298292,0.04957854406130269,0.003998190310082888,0.30486842105263157,0.013197252702073685,0.017222222222222222,0.008871510790372952,0.023641141141141138,0.01087061422307499
2026-02-04 05:39:07,0.0777314814814815,0.01810179264933011,0.08301587301587303,0.014056920066773816,0.1996666666666666,0.028297362787735904,0.05995210727969349,0.004425546508475568,0.2767982456140351,0.013023788650972926,0.016944444444444443,0.008849740178929996,0.02802552552552553,0.010935073197095017
2026-02-04 06:41:02,0.06208333333333333,0.018200274723201296,0.08666666666666667,0.014042798024853986,0.16655555555555554,0.02835075716976119,0.05348659003831417,0.004092897418766431,0.3041812865497076,0.01330345091950849,0.01722222222222223,0.008810417515085392,0.025457957957957956,0.010818886185661548
