timestamp,k40_rate,rolling_median,reason
2025-11-10 13:32:49.544022+00:00,0.004942,nan,K40 rate 0.0049 < absolute minimum 0.05
2025-11-10 14:34:56.771973+00:00,0.001696,nan,K40 rate 0.0017 < absolute minimum 0.05
2025-11-10 15:37:02.799066+00:00,0.004887,nan,K40 rate 0.0049 < absolute minimum 0.05
2025-11-10 16:41:44.928236+00:00,-0.006082,nan,K40 rate -0.0061 < absolute minimum 0.05
2025-11-10 17:44:10.583361+00:00,-0.003977,nan,K40 rate -0.0040 < absolute minimum 0.05
2025-11-10 18:46:18.972701+00:00,-0.003801,nan,K40 rate -0.0038 < absolute minimum 0.05
2025-11-10 19:48:25.400116+00:00,0.001404,nan,K40 rate 0.0014 < absolute minimum 0.05
2025-11-10 20:50:37.471036+00:00,0.001579,nan,K40 rate 0.0016 < absolute minimum 0.05
2025-11-10 21:52:41.513299+00:00,0.000629,nan,K40 rate 0.0006 < absolute minimum 0.05
2025-11-10 22:54:48.195857+00:00,-0.006754,nan,K40 rate -0.0068 < absolute minimum 0.05
2025-11-10 23:56:53.659532+00:00,0.007690,nan,K40 rate 0.0077 < absolute minimum 0.05
2025-11-11 00:59:04.811427+00:00,-0.002500,nan,K40 rate -0.0025 < absolute minimum 0.05
2025-11-11 02:01:11.385984+00:00,-0.003056,nan,K40 rate -0.0031 < absolute minimum 0.05
2025-11-11 03:03:22.331481+00:00,-0.006506,nan,K40 rate -0.0065 < absolute minimum 0.05
2025-11-11 04:05:28.670245+00:00,-0.075102,nan,K40 rate -0.0751 < absolute minimum 0.05
2025-11-11 07:11:46.221040+00:00,-0.039591,nan,K40 rate -0.0396 < absolute minimum 0.05
2025-11-11 08:13:51.419390+00:00,0.002865,nan,K40 rate 0.0029 < absolute minimum 0.05
2025-11-11 10:18:07.045524+00:00,-0.068129,nan,K40 rate -0.0681 < absolute minimum 0.05
2025-11-11 11:20:13.975500+00:00,0.013070,nan,K40 rate 0.0131 < absolute minimum 0.05
2025-11-11 12:22:26.328247+00:00,0.045395,nan,K40 rate 0.0454 < absolute minimum 0.05
2025-11-11 13:24:30.870683+00:00,0.012222,nan,K40 rate 0.0122 < absolute minimum 0.05
2025-11-11 15:28:44.935928+00:00,-0.023348,nan,K40 rate -0.0233 < absolute minimum 0.05
2025-11-11 16:30:51.968610+00:00,-0.004503,nan,K40 rate -0.0045 < absolute minimum 0.05
2025-11-11 17:32:58.452114+00:00,-0.014152,nan,K40 rate -0.0142 < absolute minimum 0.05
2025-11-14 14:54:37.640614+00:00,-0.000863,nan,K40 rate -0.0009 < absolute minimum 0.05
2025-11-14 15:57:06.710763+00:00,-0.002632,nan,K40 rate -0.0026 < absolute minimum 0.05
2025-11-14 16:59:11.832259+00:00,-0.005731,nan,K40 rate -0.0057 < absolute minimum 0.05
2025-11-14 18:01:14.993922+00:00,-0.002281,nan,K40 rate -0.0023 < absolute minimum 0.05
2025-11-14 19:03:27.160196+00:00,0.000673,nan,K40 rate 0.0007 < absolute minimum 0.05
2025-11-14 20:05:38.049609+00:00,0.000029,nan,K40 rate 0.0000 < absolute minimum 0.05
2025-11-14 21:07:44.982338+00:00,0.005585,nan,K40 rate 0.0056 < absolute minimum 0.05
2025-11-14 22:09:51.277514+00:00,0.003056,nan,K40 rate 0.0031 < absolute minimum 0.05
2025-11-14 23:11:57.461417+00:00,-0.001944,nan,K40 rate -0.0019 < absolute minimum 0.05
2025-11-15 00:14:01.370748+00:00,-0.005058,nan,K40 rate -0.0051 < absolute minimum 0.05
2025-11-15 01:16:06.360846+00:00,0.001608,nan,K40 rate 0.0016 < absolute minimum 0.05
2025-11-15 02:18:13.569751+00:00,0.002632,nan,K40 rate 0.0026 < absolute minimum 0.05
2025-11-15 03:20:20.531891+00:00,-0.002909,nan,K40 rate -0.0029 < absolute minimum 0.05
2025-11-15 04:22:26.851668+00:00,-0.000980,nan,K40 rate -0.0010 < absolute minimum 0.05
2025-11-15 05:24:32.894345+00:00,-0.003406,nan,K40 rate -0.0034 < absolute minimum 0.05
2025-11-15 06:26:40.810733+00:00,0.001667,nan,K40 rate 0.0017 < absolute minimum 0.05
2025-11-15 07:28:52.807878+00:00,-0.011725,nan,K40 rate -0.0117 < absolute minimum 0.05
2025-11-15 08:30:57.479461+00:00,-0.006228,nan,K40 rate -0.0062 < absolute minimum 0.05
2025-11-15 09:33:03.708195+00:00,0.005570,nan,K40 rate 0.0056 < absolute minimum 0.05
2025-11-15 10:35:10.049882+00:00,-0.003655,nan,K40 rate -0.0037 < absolute minimum 0.05
2025-11-15 11:37:14.770712+00:00,0.004839,nan,K40 rate 0.0048 < absolute minimum 0.05
2025-11-15 12:39:22.833300+00:00,0.003596,nan,K40 rate 0.0036 < absolute minimum 0.05
2025-11-15 13:41:29.415373+00:00,-0.004883,nan,K40 rate -0.0049 < absolute minimum 0.05
2025-11-15 14:43:34.645019+00:00,-0.002295,nan,K40 rate -0.0023 < absolute minimum 0.05
2025-11-15 15:45:41.386313+00:00,-0.000994,nan,K40 rate -0.0010 < absolute minimum 0.05
2025-11-15 16:47:48.337157+00:00,-0.002354,nan,K40 rate -0.0024 < absolute minimum 0.05
