Energy(keV),Counts
4.830042106813635172e+01,6.000000000000000000e+00
4.863261035079371908e+01,8.000000000000000000e+00
4.896479963345108644e+01,1.400000000000000000e+01
4.929698891610845379e+01,1.800000000000000000e+01
4.962917819876582115e+01,1.600000000000000000e+01
4.996136748142318851e+01,1.100000000000000000e+01
5.029355676408055587e+01,1.200000000000000000e+01
5.062574604673792322e+01,8.000000000000000000e+00
5.095793532939529058e+01,1.500000000000000000e+01
5.129012461205265794e+01,1.300000000000000000e+01
5.162231389471002529e+01,1.700000000000000000e+01
5.195450317736739265e+01,9.000000000000000000e+00
5.228669246002476001e+01,2.400000000000000000e+01
5.261888174268212737e+01,1.600000000000000000e+01
5.295107102533949472e+01,1.500000000000000000e+01
5.328326030799686208e+01,1.100000000000000000e+01
5.361544959065422944e+01,1.500000000000000000e+01
5.394763887331159680e+01,1.200000000000000000e+01
5.427982815596897126e+01,2.200000000000000000e+01
5.461201743862633862e+01,1.500000000000000000e+01
5.494420672128370597e+01,2.100000000000000000e+01
5.527639600394107333e+01,1.500000000000000000e+01
5.560858528659844069e+01,2.200000000000000000e+01
5.594077456925580805e+01,1.900000000000000000e+01
5.627296385191317540e+01,1.900000000000000000e+01
5.660515313457054276e+01,1.800000000000000000e+01
5.693734241722791012e+01,5.000000000000000000e+00
5.726953169988527748e+01,1.100000000000000000e+01
5.760172098254264483e+01,1.600000000000000000e+01
5.793391026520001219e+01,2.100000000000000000e+01
5.826609954785737955e+01,2.200000000000000000e+01
5.859828883051474691e+01,3.800000000000000000e+01
5.893047811317211426e+01,2.900000000000000000e+01
5.926266739582948162e+01,3.400000000000000000e+01
5.959485667848684898e+01,1.700000000000000000e+01
5.992704596114421634e+01,2.000000000000000000e+01
6.025923524380158369e+01,1.500000000000000000e+01
6.059142452645895105e+01,1.400000000000000000e+01
6.092361380911631841e+01,1.700000000000000000e+01
6.125580309177368576e+01,8.000000000000000000e+00
6.158799237443106023e+01,2.700000000000000000e+01
6.192018165708842758e+01,1.400000000000000000e+01
6.225237093974579494e+01,1.300000000000000000e+01
6.258456022240316230e+01,1.600000000000000000e+01
6.291674950506052966e+01,2.400000000000000000e+01
6.324893878771789701e+01,1.800000000000000000e+01
6.358112807037526437e+01,1.800000000000000000e+01
6.391331735303263173e+01,2.100000000000000000e+01
6.424550663568999198e+01,1.700000000000000000e+01
6.457769591834735934e+01,1.700000000000000000e+01
6.490988520100472670e+01,1.500000000000000000e+01
6.524207448366210826e+01,1.800000000000000000e+01
6.557426376631947562e+01,1.700000000000000000e+01
6.590645304897684298e+01,1.500000000000000000e+01
6.623864233163421034e+01,2.800000000000000000e+01
6.657083161429157769e+01,1.900000000000000000e+01
6.690302089694894505e+01,1.500000000000000000e+01
6.723521017960631241e+01,1.800000000000000000e+01
6.756739946226367977e+01,1.700000000000000000e+01
6.789958874492104712e+01,1.500000000000000000e+01
6.823177802757841448e+01,1.300000000000000000e+01
6.856396731023578184e+01,1.200000000000000000e+01
6.889615659289314920e+01,1.800000000000000000e+01
6.922834587555051655e+01,2.400000000000000000e+01
6.956053515820788391e+01,1.300000000000000000e+01
6.989272444086525127e+01,1.800000000000000000e+01
7.022491372352261862e+01,1.700000000000000000e+01
7.055710300617998598e+01,1.600000000000000000e+01
7.088929228883735334e+01,1.700000000000000000e+01
7.122148157149472070e+01,2.400000000000000000e+01
7.155367085415208805e+01,1.600000000000000000e+01
7.188586013680945541e+01,2.700000000000000000e+01
7.221804941946682277e+01,1.400000000000000000e+01
7.255023870212419013e+01,2.300000000000000000e+01
7.288242798478155748e+01,1.900000000000000000e+01
7.321461726743892484e+01,1.300000000000000000e+01
7.354680655009629220e+01,2.700000000000000000e+01
7.387899583275365956e+01,1.500000000000000000e+01
7.421118511541102691e+01,2.100000000000000000e+01
7.454337439806839427e+01,4.100000000000000000e+01
7.487556368072576163e+01,3.200000000000000000e+01
7.520775296338312899e+01,2.300000000000000000e+01
7.553994224604049634e+01,2.300000000000000000e+01
7.587213152869786370e+01,2.000000000000000000e+01
7.620432081135523106e+01,2.600000000000000000e+01
7.653651009401259842e+01,2.400000000000000000e+01
7.686869937666996577e+01,2.200000000000000000e+01
7.720088865932733313e+01,1.700000000000000000e+01
7.753307794198470049e+01,2.400000000000000000e+01
7.786526722464206784e+01,2.600000000000000000e+01
7.819745650729943520e+01,2.100000000000000000e+01
7.852964578995680256e+01,2.100000000000000000e+01
7.886183507261416992e+01,1.400000000000000000e+01
7.919402435527155149e+01,2.200000000000000000e+01
7.952621363792891884e+01,2.700000000000000000e+01
7.985840292058628620e+01,2.400000000000000000e+01
8.019059220324365356e+01,2.900000000000000000e+01
8.052278148590102091e+01,2.100000000000000000e+01
8.085497076855838827e+01,1.700000000000000000e+01
8.118716005121575563e+01,3.100000000000000000e+01
8.151934933387312299e+01,2.400000000000000000e+01
8.185153861653049034e+01,1.800000000000000000e+01
8.218372789918785770e+01,2.100000000000000000e+01
8.251591718184522506e+01,3.100000000000000000e+01
8.284810646450259242e+01,2.300000000000000000e+01
8.318029574715995977e+01,2.800000000000000000e+01
8.351248502981732713e+01,2.200000000000000000e+01
8.384467431247469449e+01,2.300000000000000000e+01
8.417686359513206185e+01,3.000000000000000000e+01
8.450905287778942920e+01,2.100000000000000000e+01
8.484124216044679656e+01,2.500000000000000000e+01
8.517343144310416392e+01,2.900000000000000000e+01
8.550562072576153128e+01,2.200000000000000000e+01
8.583781000841889863e+01,2.400000000000000000e+01
8.616999929107626599e+01,2.600000000000000000e+01
8.650218857373363335e+01,2.300000000000000000e+01
8.683437785639100071e+01,2.900000000000000000e+01
8.716656713904836806e+01,3.200000000000000000e+01
8.749875642170573542e+01,2.400000000000000000e+01
8.783094570436310278e+01,3.000000000000000000e+01
8.816313498702047013e+01,2.900000000000000000e+01
8.849532426967783749e+01,2.500000000000000000e+01
8.882751355233520485e+01,3.600000000000000000e+01
8.915970283499257221e+01,2.700000000000000000e+01
8.949189211764993956e+01,3.200000000000000000e+01
8.982408140030730692e+01,2.600000000000000000e+01
9.015627068296467428e+01,3.000000000000000000e+01
9.048845996562204164e+01,3.400000000000000000e+01
9.082064924827940899e+01,2.700000000000000000e+01
9.115283853093677635e+01,1.900000000000000000e+01
9.148502781359414371e+01,2.400000000000000000e+01
9.181721709625151107e+01,3.800000000000000000e+01
9.214940637890887842e+01,2.700000000000000000e+01
9.248159566156624578e+01,2.200000000000000000e+01
9.281378494422361314e+01,3.500000000000000000e+01
9.314597422688098050e+01,3.500000000000000000e+01
9.347816350953836206e+01,2.800000000000000000e+01
9.381035279219572942e+01,2.600000000000000000e+01
9.414254207485309678e+01,2.400000000000000000e+01
9.447473135751046414e+01,2.200000000000000000e+01
9.480692064016783149e+01,3.500000000000000000e+01
9.513910992282519885e+01,3.300000000000000000e+01
9.547129920548256621e+01,3.400000000000000000e+01
9.580348848813993357e+01,2.200000000000000000e+01
9.613567777079730092e+01,2.400000000000000000e+01
9.646786705345466828e+01,3.100000000000000000e+01
9.680005633611203564e+01,2.600000000000000000e+01
9.713224561876940299e+01,1.900000000000000000e+01
9.746443490142677035e+01,3.300000000000000000e+01
9.779662418408413771e+01,3.100000000000000000e+01
9.812881346674150507e+01,2.600000000000000000e+01
9.846100274939887242e+01,1.700000000000000000e+01
9.879319203205623978e+01,3.700000000000000000e+01
9.912538131471360714e+01,3.100000000000000000e+01
9.945757059737097450e+01,2.300000000000000000e+01
9.978975988002834185e+01,3.100000000000000000e+01
1.001219491626857092e+02,2.900000000000000000e+01
1.004541384453430766e+02,2.600000000000000000e+01
1.007863277280004439e+02,3.300000000000000000e+01
1.011185170106578113e+02,2.800000000000000000e+01
1.014507062933151786e+02,2.200000000000000000e+01
1.017828955759725460e+02,2.600000000000000000e+01
1.021150848586299134e+02,2.000000000000000000e+01
1.024472741412872807e+02,2.800000000000000000e+01
1.027794634239446481e+02,3.700000000000000000e+01
1.031116527066020154e+02,2.300000000000000000e+01
1.034438419892593828e+02,3.100000000000000000e+01
1.037760312719167501e+02,3.000000000000000000e+01
1.041082205545741175e+02,3.000000000000000000e+01
1.044404098372314849e+02,2.300000000000000000e+01
1.047725991198888522e+02,3.800000000000000000e+01
1.051047884025462196e+02,3.000000000000000000e+01
1.054369776852035869e+02,2.800000000000000000e+01
1.057691669678609543e+02,2.500000000000000000e+01
1.061013562505183216e+02,3.200000000000000000e+01
1.064335455331756890e+02,3.400000000000000000e+01
1.067657348158330564e+02,2.700000000000000000e+01
1.070979240984904237e+02,1.500000000000000000e+01
1.074301133811478053e+02,3.400000000000000000e+01
1.077623026638051726e+02,3.400000000000000000e+01
1.080944919464625400e+02,3.100000000000000000e+01
1.084266812291199074e+02,3.300000000000000000e+01
1.087588705117772747e+02,2.700000000000000000e+01
1.090910597944346421e+02,1.800000000000000000e+01
1.094232490770920094e+02,2.300000000000000000e+01
1.097554383597493768e+02,2.400000000000000000e+01
1.100876276424067441e+02,3.000000000000000000e+01
1.104198169250641115e+02,2.400000000000000000e+01
1.107520062077214789e+02,1.900000000000000000e+01
1.110841954903788462e+02,1.900000000000000000e+01
1.114163847730362136e+02,3.100000000000000000e+01
1.117485740556935809e+02,3.500000000000000000e+01
1.120807633383509483e+02,2.800000000000000000e+01
1.124129526210083156e+02,4.000000000000000000e+01
1.127451419036656830e+02,1.700000000000000000e+01
1.130773311863230504e+02,2.800000000000000000e+01
1.134095204689804177e+02,2.000000000000000000e+01
1.137417097516377851e+02,3.100000000000000000e+01
1.140738990342951524e+02,2.300000000000000000e+01
1.144060883169525198e+02,2.800000000000000000e+01
1.147382775996098871e+02,3.100000000000000000e+01
1.150704668822672545e+02,2.300000000000000000e+01
1.154026561649246219e+02,2.500000000000000000e+01
1.157348454475819892e+02,2.400000000000000000e+01
1.160670347302393566e+02,2.000000000000000000e+01
1.163992240128967239e+02,2.900000000000000000e+01
1.167314132955540913e+02,2.600000000000000000e+01
1.170636025782114586e+02,2.900000000000000000e+01
1.173957918608688260e+02,2.600000000000000000e+01
1.177279811435261934e+02,3.400000000000000000e+01
1.180601704261835607e+02,3.100000000000000000e+01
1.183923597088409281e+02,3.700000000000000000e+01
1.187245489914982954e+02,2.000000000000000000e+01
1.190567382741556628e+02,2.600000000000000000e+01
1.193889275568130302e+02,2.200000000000000000e+01
1.197211168394703975e+02,2.600000000000000000e+01
1.200533061221277649e+02,3.100000000000000000e+01
1.203854954047851322e+02,2.900000000000000000e+01
1.207176846874424996e+02,2.000000000000000000e+01
1.210498739700998669e+02,1.900000000000000000e+01
1.213820632527572343e+02,3.200000000000000000e+01
1.217142525354146159e+02,3.100000000000000000e+01
1.220464418180719832e+02,2.900000000000000000e+01
1.223786311007293506e+02,3.000000000000000000e+01
1.227108203833867179e+02,2.700000000000000000e+01
1.230430096660440853e+02,2.600000000000000000e+01
1.233751989487014527e+02,2.600000000000000000e+01
1.237073882313588200e+02,2.300000000000000000e+01
1.240395775140161874e+02,2.200000000000000000e+01
1.243717667966735547e+02,2.800000000000000000e+01
1.247039560793309221e+02,2.300000000000000000e+01
1.250361453619882894e+02,3.300000000000000000e+01
1.253683346446456568e+02,2.100000000000000000e+01
1.257005239273030242e+02,2.700000000000000000e+01
1.260327132099603915e+02,3.000000000000000000e+01
1.263649024926177589e+02,1.800000000000000000e+01
1.266970917752751262e+02,2.800000000000000000e+01
1.270292810579324936e+02,3.000000000000000000e+01
1.273614703405898609e+02,1.900000000000000000e+01
1.276936596232472283e+02,2.100000000000000000e+01
1.280258489059045814e+02,2.800000000000000000e+01
1.283580381885619488e+02,2.300000000000000000e+01
1.286902274712193162e+02,2.200000000000000000e+01
1.290224167538766835e+02,3.600000000000000000e+01
1.293546060365340793e+02,2.200000000000000000e+01
1.296867953191914467e+02,3.000000000000000000e+01
1.300189846018488140e+02,3.000000000000000000e+01
1.303511738845061814e+02,3.200000000000000000e+01
1.306833631671635487e+02,2.600000000000000000e+01
1.310155524498209161e+02,2.800000000000000000e+01
1.313477417324782834e+02,3.000000000000000000e+01
1.316799310151356508e+02,2.300000000000000000e+01
1.320121202977930182e+02,2.600000000000000000e+01
1.323443095804503855e+02,2.300000000000000000e+01
1.326764988631077529e+02,1.300000000000000000e+01
1.330086881457651202e+02,2.500000000000000000e+01
1.333408774284224876e+02,2.000000000000000000e+01
1.336730667110798549e+02,2.200000000000000000e+01
1.340052559937372223e+02,2.600000000000000000e+01
1.343374452763945897e+02,1.600000000000000000e+01
1.346696345590519570e+02,2.500000000000000000e+01
1.350018238417093244e+02,2.100000000000000000e+01
1.353340131243666917e+02,2.400000000000000000e+01
1.356662024070240591e+02,2.200000000000000000e+01
1.359983916896814264e+02,2.700000000000000000e+01
1.363305809723387938e+02,2.900000000000000000e+01
1.366627702549961612e+02,2.800000000000000000e+01
1.369949595376535285e+02,2.200000000000000000e+01
1.373271488203108959e+02,2.500000000000000000e+01
1.376593381029682632e+02,2.100000000000000000e+01
1.379915273856256306e+02,1.700000000000000000e+01
1.383237166682829979e+02,2.600000000000000000e+01
1.386559059509403653e+02,1.400000000000000000e+01
1.389880952335977327e+02,2.600000000000000000e+01
1.393202845162551000e+02,2.000000000000000000e+01
1.396524737989124674e+02,1.900000000000000000e+01
1.399846630815698347e+02,3.500000000000000000e+01
1.403168523642272021e+02,2.500000000000000000e+01
1.406490416468845694e+02,2.100000000000000000e+01
1.409812309295419368e+02,2.300000000000000000e+01
1.413134202121993042e+02,2.200000000000000000e+01
1.416456094948566715e+02,2.500000000000000000e+01
1.419777987775140389e+02,2.600000000000000000e+01
1.423099880601714062e+02,1.700000000000000000e+01
1.426421773428287736e+02,1.800000000000000000e+01
1.429743666254861409e+02,1.900000000000000000e+01
1.433065559081435083e+02,3.100000000000000000e+01
1.436387451908008757e+02,3.200000000000000000e+01
1.439709344734582430e+02,2.300000000000000000e+01
1.443031237561156104e+02,2.600000000000000000e+01
1.446353130387729777e+02,2.000000000000000000e+01
1.449675023214303451e+02,2.500000000000000000e+01
1.452996916040877124e+02,2.600000000000000000e+01
1.456318808867450798e+02,2.400000000000000000e+01
1.459640701694024472e+02,1.500000000000000000e+01
1.462962594520598145e+02,2.600000000000000000e+01
1.466284487347171819e+02,1.200000000000000000e+01
1.469606380173745492e+02,1.900000000000000000e+01
1.472928273000319166e+02,1.900000000000000000e+01
1.476250165826892840e+02,1.800000000000000000e+01
1.479572058653466513e+02,1.800000000000000000e+01
1.482893951480040187e+02,1.900000000000000000e+01
1.486215844306613860e+02,2.100000000000000000e+01
1.489537737133187534e+02,1.100000000000000000e+01
1.492859629959761207e+02,2.100000000000000000e+01
1.496181522786334881e+02,2.800000000000000000e+01
1.499503415612908555e+02,1.600000000000000000e+01
1.502825308439482228e+02,3.200000000000000000e+01
1.506147201266055902e+02,1.600000000000000000e+01
1.509469094092629575e+02,2.400000000000000000e+01
1.512790986919203249e+02,2.100000000000000000e+01
1.516112879745776922e+02,1.600000000000000000e+01
1.519434772572350596e+02,1.700000000000000000e+01
1.522756665398924270e+02,2.400000000000000000e+01
1.526078558225497943e+02,1.700000000000000000e+01
1.529400451052071617e+02,2.000000000000000000e+01
1.532722343878645290e+02,1.600000000000000000e+01
1.536044236705218964e+02,1.600000000000000000e+01
1.539366129531792637e+02,1.900000000000000000e+01
1.542688022358366311e+02,1.700000000000000000e+01
1.546009915184939985e+02,2.100000000000000000e+01
1.549331808011513658e+02,2.200000000000000000e+01
1.552653700838087332e+02,1.900000000000000000e+01
1.555975593664661005e+02,2.100000000000000000e+01
1.559297486491234679e+02,2.200000000000000000e+01
1.562619379317808352e+02,1.800000000000000000e+01
1.565941272144382026e+02,2.200000000000000000e+01
1.569263164970955700e+02,2.200000000000000000e+01
1.572585057797529657e+02,3.200000000000000000e+01
1.575906950624103331e+02,2.100000000000000000e+01
1.579228843450677005e+02,1.900000000000000000e+01
1.582550736277250678e+02,2.000000000000000000e+01
1.585872629103824352e+02,1.300000000000000000e+01
1.589194521930398025e+02,1.500000000000000000e+01
1.592516414756971699e+02,1.500000000000000000e+01
1.595838307583545372e+02,1.600000000000000000e+01
1.599160200410119046e+02,1.900000000000000000e+01
1.602482093236692720e+02,1.800000000000000000e+01
1.605803986063266393e+02,1.900000000000000000e+01
1.609125878889840067e+02,2.400000000000000000e+01
1.612447771716413740e+02,2.200000000000000000e+01
1.615769664542987414e+02,1.900000000000000000e+01
1.619091557369561087e+02,1.800000000000000000e+01
1.622413450196134761e+02,1.500000000000000000e+01
1.625735343022708435e+02,2.300000000000000000e+01
1.629057235849282108e+02,2.100000000000000000e+01
1.632379128675855782e+02,1.800000000000000000e+01
1.635701021502429455e+02,2.800000000000000000e+01
1.639022914329003129e+02,1.000000000000000000e+01
1.642344807155576802e+02,1.600000000000000000e+01
1.645666699982150476e+02,1.600000000000000000e+01
1.648988592808724150e+02,1.700000000000000000e+01
1.652310485635297823e+02,1.600000000000000000e+01
1.655632378461871497e+02,1.300000000000000000e+01
1.658954271288445170e+02,1.800000000000000000e+01
1.662276164115018844e+02,1.600000000000000000e+01
1.665598056941592517e+02,2.200000000000000000e+01
1.668919949768166191e+02,1.900000000000000000e+01
1.672241842594739865e+02,1.200000000000000000e+01
1.675563735421313538e+02,1.900000000000000000e+01
1.678885628247887212e+02,1.800000000000000000e+01
1.682207521074460885e+02,2.400000000000000000e+01
1.685529413901034559e+02,1.600000000000000000e+01
1.688851306727608232e+02,1.700000000000000000e+01
1.692173199554181906e+02,1.800000000000000000e+01
1.695495092380755580e+02,3.000000000000000000e+01
1.698816985207329253e+02,1.600000000000000000e+01
1.702138878033902927e+02,1.500000000000000000e+01
1.705460770860476600e+02,2.000000000000000000e+01
1.708782663687050274e+02,1.900000000000000000e+01
1.712104556513623947e+02,1.500000000000000000e+01
1.715426449340197621e+02,1.800000000000000000e+01
1.718748342166771295e+02,1.200000000000000000e+01
1.722070234993344968e+02,1.600000000000000000e+01
1.725392127819918642e+02,1.200000000000000000e+01
1.728714020646492315e+02,2.000000000000000000e+01
1.732035913473065989e+02,1.400000000000000000e+01
1.735357806299639662e+02,2.100000000000000000e+01
1.738679699126213336e+02,2.100000000000000000e+01
1.742001591952787010e+02,1.400000000000000000e+01
1.745323484779360683e+02,1.300000000000000000e+01
1.748645377605934357e+02,2.200000000000000000e+01
1.751967270432508030e+02,1.300000000000000000e+01
1.755289163259081704e+02,2.300000000000000000e+01
1.758611056085655378e+02,1.700000000000000000e+01
1.761932948912229051e+02,1.500000000000000000e+01
1.765254841738802725e+02,1.000000000000000000e+01
1.768576734565376398e+02,1.100000000000000000e+01
1.771898627391950072e+02,1.300000000000000000e+01
1.775220520218523745e+02,1.800000000000000000e+01
1.778542413045097419e+02,1.000000000000000000e+01
1.781864305871671093e+02,2.500000000000000000e+01
1.785186198698244766e+02,1.800000000000000000e+01
1.788508091524818440e+02,2.000000000000000000e+01
1.791829984351392113e+02,1.000000000000000000e+01
1.795151877177965787e+02,1.300000000000000000e+01
1.798473770004539460e+02,1.700000000000000000e+01
1.801795662831113134e+02,1.600000000000000000e+01
1.805117555657686808e+02,1.500000000000000000e+01
1.808439448484260481e+02,2.200000000000000000e+01
1.811761341310834155e+02,1.600000000000000000e+01
1.815083234137407828e+02,1.500000000000000000e+01
1.818405126963981502e+02,2.100000000000000000e+01
1.821727019790555175e+02,1.700000000000000000e+01
1.825048912617128849e+02,1.300000000000000000e+01
1.828370805443702523e+02,1.900000000000000000e+01
1.831692698270276196e+02,1.700000000000000000e+01
1.835014591096849870e+02,1.300000000000000000e+01
1.838336483923423543e+02,1.000000000000000000e+01
1.841658376749997217e+02,2.500000000000000000e+01
1.844980269576570890e+02,1.100000000000000000e+01
1.848302162403144564e+02,1.500000000000000000e+01
1.851624055229718238e+02,6.000000000000000000e+00
1.854945948056292195e+02,1.600000000000000000e+01
1.858267840882865869e+02,2.100000000000000000e+01
1.861589733709439543e+02,1.400000000000000000e+01
1.864911626536013216e+02,1.400000000000000000e+01
1.868233519362586890e+02,2.100000000000000000e+01
1.871555412189160563e+02,1.600000000000000000e+01
1.874877305015734237e+02,1.500000000000000000e+01
1.878199197842307910e+02,1.100000000000000000e+01
1.881521090668881584e+02,1.700000000000000000e+01
1.884842983495455258e+02,1.500000000000000000e+01
1.888164876322028931e+02,1.100000000000000000e+01
1.891486769148602605e+02,1.000000000000000000e+01
1.894808661975176278e+02,1.200000000000000000e+01
1.898130554801749952e+02,1.000000000000000000e+01
1.901452447628323625e+02,1.500000000000000000e+01
1.904774340454897299e+02,2.000000000000000000e+01
1.908096233281470973e+02,1.200000000000000000e+01
1.911418126108044646e+02,1.500000000000000000e+01
1.914740018934618320e+02,1.500000000000000000e+01
1.918061911761191993e+02,1.300000000000000000e+01
1.921383804587765667e+02,1.000000000000000000e+01
1.924705697414339340e+02,1.700000000000000000e+01
1.928027590240913014e+02,1.000000000000000000e+01
1.931349483067486688e+02,1.400000000000000000e+01
1.934671375894060361e+02,1.700000000000000000e+01
1.937993268720634035e+02,1.700000000000000000e+01
